,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
26,300948.SZ,20240221,9.19,9.97,9.1,9.62,9.03,0.59,6.5338,70185.64,67250.107
27,300376.SZ,20240221,5.56,5.74,5.54,5.62,5.61,0.01,0.1783,159898.78,90624.912
28,301500.SZ,20240221,15.68,16.5,15.53,16.08,15.87,0.21,1.3233,35410.26,57277.616
29,301131.SZ,20240221,31.2,33.47,30.98,32.11,31.77,0.34,1.0702,19803.65,64286.655
30,300483.SZ,20240221,7.95,8.64,7.95,8.35,8.04,0.31,3.8557,53650.49,45291.331
31,300700.SZ,20240221,10.81,11.58,10.71,11.16,10.92,0.24,2.1978,77436.77,87497.987
32,301037.SZ,20240221,11.28,12.4,11.2,11.77,11.28,0.49,4.344,29022.91,34212.995
33,301239.SZ,20240221,62.6,66.66,61.5,64.14,62.89,1.25,1.9876,31177.14,199842.078
34,300608.SZ,20240221,11.0,11.48,10.75,11.0,11.0,0.0,0.0,246648.25,275142.095
35,300631.SZ,20240221,19.73,22.0,19.7,20.58,20.18,0.4,1.9822,25780.48,53576.02
36,300756.SZ,20240221,10.95,11.63,10.83,11.25,11.0,0.25,2.2727,45571.22,51633.809
37,300333.SZ,20240221,4.32,4.72,4.27,4.48,4.36,0.12,2.7523,185061.4,83932.646
38,301419.SZ,20240221,24.7,25.93,24.23,24.95,25.45,-0.5,-1.9646,31288.58,78592.623
39,300860.SZ,20240221,35.16,37.58,34.77,36.47,35.65,0.82,2.3001,32383.99,117830.388
40,300233.SZ,20240221,13.97,14.35,13.77,14.0,13.97,0.03,0.2147,50502.55,71363.899
41,002123.SZ,20240221,8.93,9.35,8.85,8.99,9.02,-0.03,-0.3326,196437.82,179063.2
42,830779.BJ,20240221,27.07,27.9,26.83,27.3,27.33,-0.03,-0.1098,3093.55,8495.577
43,600598.SH,20240221,12.2,12.39,12.18,12.25,12.24,0.01,0.0817,131225.16,161529.342
44,688046.SH,20240221,12.54,13.81,12.23,13.25,12.64,0.61,4.8259,60161.72,79481.454
45,002151.SZ,20240221,25.49,26.35,25.14,25.66,25.6,0.06,0.2344,81635.94,210807.687
46,000510.SZ,20240221,3.56,3.8,3.52,3.71,3.54,0.17,4.8023,141060.89,52235.939
47,688239.SH,20240221,32.7,34.65,32.53,33.81,33.04,0.77,2.3305,32926.94,111244.415
48,300209.SZ,20240221,1.88,1.88,1.88,1.88,1.57,0.31,19.7452,24763.86,4655.606
49,600903.SH,20240221,6.96,7.15,6.9,7.02,6.98,0.04,0.5731,55820.7,39446.145
50,603508.SH,20240221,12.94,13.44,12.91,13.11,13.01,0.1,0.7686,55653.17,73523.159
51,603133.SH,20240221,4.8,4.95,4.73,4.82,4.71,0.11,2.3355,66177.0,32105.206
52,603868.SH,20240221,45.85,47.91,45.21,46.22,46.03,0.19,0.4128,18070.1,84323.422
53,000065.SZ,20240221,10.42,11.05,10.38,10.7,10.53,0.17,1.6144,160497.26,173285.086
54,600551.SH,20240221,10.45,10.85,10.31,10.53,10.76,-0.23,-2.1375,191058.97,202321.222
55,688003.SH,20240221,27.9,29.25,27.5,28.5,28.12,0.38,1.3514,15986.68,45768.275
56,688069.SH,20240221,16.35,17.21,16.32,16.55,16.42,0.13,0.7917,3128.34,5256.945
57,000061.SZ,20240221,6.14,6.41,6.05,6.21,6.14,0.07,1.1401,89654.68,56147.551
58,600986.SH,20240221,4.63,4.82,4.56,4.67,4.65,0.02,0.4301,769664.29,362479.283
59,300187.SZ,20240221,4.09,4.3,4.05,4.19,4.11,0.08,1.9465,66543.03,27929.361
60,002262.SZ,20240221,24.58,24.7,23.6,24.22,24.7,-0.48,-1.9433,108698.73,262926.101
61,688568.SH,20240221,39.41,41.98,39.22,40.44,39.85,0.59,1.4806,38552.43,156838.084
62,002823.SZ,20240221,8.31,8.93,8.2,8.59,8.35,0.24,2.8743,63946.76,55264.68
63,601669.SH,20240221,4.99,5.18,4.98,5.1,5.02,0.08,1.5936,1730570.6,883297.386
